tweetid,entity,type,score
1.03258858709789E+018,@Diageo,PERSON,0.8399205208
1.03258858709789E+018,@GapInc,PERSON,0.9211377501
1.03258858709789E+018,844 million people,QUANTITY,0.798147738
1.03258858709789E+018,https://t.co/tgfyJfA3BC,OTHER,0.9998863935
1.03258873599988E+018,Tanzania,LOCATION,0.8757686019
1.03258873599988E+018,Four Years,QUANTITY,0.808183074
1.03258873599988E+018,https://t.co/0XrU9sjuLD,OTHER,0.9999922514
1.03258873599988E+018,Over 100 Billion,QUANTITY,0.8633526564
1.03258873599988E+018,https://t.co/NYGzR1YTqf,OTHER,0.6050820947
1.03258873599988E+018,Unilever,ORGANIZATION,0.7933313847
1.03260571110735E+018,https://t.co/GhZr4E5q9o,OTHER,0.999984622
1.03260571110735E+018,this morning,DATE,0.9352021813
1.03260571110735E+018,@Unilever,ORGANIZATION,0.9323878884
1.03258676149771E+018,https://t.co/bIA8PSqIs1,OTHER,0.9773129225
1.03258676149771E+018,@globalcosmetics,PERSON,0.7623176575
1.03258676149771E+018,Coca Cola,ORGANIZATION,0.887390852
1.03258975384421E+018,P&amp;G,ORGANIZATION,0.8185927272
1.03258975384421E+018,@anuraag_saxena,PERSON,0.9921137094
1.03258975384421E+018,Unilever,ORGANIZATION,0.6194170117
1.03258975384421E+018,@indiatimes,PERSON,0.7335968614
1.03258998124254E+018,https://t.co/WeYDw1xdv0,OTHER,0.9125974178
1.03258998124254E+018,Unilever,ORGANIZATION,0.8249544501
1.03258998124254E+018,#263Chat,ORGANIZATION,0.6264896989
1.03258998124254E+018,Gweru,LOCATION,0.9031627178
1.03258999716839E+018,@GapInc,ORGANIZATION,0.8078474402
1.03258999716839E+018,844 million people,QUANTITY,0.7978664041
1.03258999716839E+018,@Diageo_News,ORGANIZATION,0.8451715708
1.03258999716839E+018,https://t.co/LTpeCL0YKz,OTHER,0.9998492002
1.03258999716839E+018,@Unilever,ORGANIZATION,0.9799681306
1.03258252354757E+018,https://t.co/fSgK83TOgE,OTHER,0.9996275902
1.03258252354757E+018,2018,DATE,0.9941991568
1.03260193620438E+018,Unilever Plc,ORGANIZATION,0.6110405326
1.03260193620438E+018,Forte Capital,ORGANIZATION,0.7293120027
1.03260193620438E+018,Arlington Value Capital,ORGANIZATION,0.8808047175
1.03260193620438E+018,UL,ORGANIZATION,0.5287261009
1.03260193620438E+018,https://t.co/FUnze4v5Ts,OTHER,0.9997658134
1.03257644754043E+018,Tanzania,LOCATION,0.8559479117
1.03257644754043E+018,Four Years,QUANTITY,0.7709986567
1.03257644754043E+018,$43 Million,QUANTITY,0.9903573394
1.03257644754043E+018,U.S.,LOCATION,0.6675957441
1.03257644754043E+018,Unilever,ORGANIZATION,0.4425727427
1.03257644754043E+018,Tanzania,LOCATION,0.9984353185
1.03257644754043E+018,https://t.co/W1dAAR84ol,OTHER,0.8488013744
1.03257644765367E+018,Keells Super,ORGANIZATION,0.8860629797
1.03257644765367E+018,Unilever,ORGANIZATION,0.9624209404
1.03257644765367E+018,https://t.co/CFDkzesNA5,OTHER,0.9999058247
1.03258773881248E+018,https://t.co/YBPBATineU,OTHER,0.9954849482
1.03260395534645E+018,@bsindia,PERSON,0.9293045998
1.03260395534645E+018,https://t.co/pZ9sHnyFkv,OTHER,0.9999468327
1.03259733990558E+018,@drreddys,ORGANIZATION,0.8838943243
1.03259733990558E+018,@SunPharma_Live Eastern,ORGANIZATION,0.7860059142
1.03259733990558E+018,@relianceindltd,ORGANIZATION,0.7700745463
1.03259733990558E+018,@Stateofthings2,ORGANIZATION,0.8176814318
1.03259733990558E+018,@CiplaNutrition,ORGANIZATION,0.9161146283
1.03259733990558E+018,https://t.co/yDwKPeC3wk,OTHER,0.9998856783
1.03259733990558E+018,@HUL_News,ORGANIZATION,0.847274065
1.0325996112973E+018,Unilever,ORGANIZATION,0.4425727427
1.0325996112973E+018,Tanzania,LOCATION,0.9984664917
1.0325996112973E+018,https://t.co/7WARL1YqH0,OTHER,0.9999507666
1.0325996112973E+018,U.S.,LOCATION,0.6675957441
1.0325996112973E+018,Four Years,QUANTITY,0.738476038
1.0325996112973E+018,$43 Million,QUANTITY,0.9903573394
1.0325996112973E+018,Tanzania,LOCATION,0.8559479117
1.03260506816662E+018,@enactusIreland,ORGANIZATION,0.7348311543
1.03260506816662E+018,@Unilever,ORGANIZATION,0.8000454903
1.03260506816662E+018,@BusinessAtUL,ORGANIZATION,0.8683903217
1.03260506816662E+018,@dogpatchlabs,ORGANIZATION,0.9008725882
1.03260506816662E+018,https://t.co/H9smHNtlEk,OTHER,0.9997352958
1.03260506816662E+018,#EnactusTLS18,ORGANIZATION,0.5318400264
1.03259010419437E+018,https://t.co/K1ot5trsGS,OTHER,0.9847188592
1.03259010419437E+018,Gweru,LOCATION,0.9612585306
1.03259010419437E+018,#263,QUANTITY,0.6954551935
1.03257855703206E+018,HUL,ORGANIZATION,0.9611035585
1.03257855703206E+018,90-second,QUANTITY,0.9453621507
1.03257855703206E+018,https://t.co/eMtliXj472,OTHER,0.9999756813
1.03257873668266E+018,@PaulPolman,PERSON,0.9678119421
1.03257882835339E+018,@WBrouer,PERSON,0.8777089715
1.03257882835339E+018,MARK TUTTE,PERSON,0.7001273632
1.03257882835339E+018,@henkwestbroek,PERSON,0.9421411157
1.03260099930154E+018,#Renewable100,PERSON,0.6599331498
1.03260099930154E+018,"Japan
Q",PERSON,0.5851557851
1.03260099930154E+018,100,QUANTITY,0.5642930865
1.03260099930154E+018,Kitajima,PERSON,0.9928249121
1.03260099930154E+018,Unilever,ORGANIZATION,0.4637228549
1.03260099930154E+018,@CANJapan_org,PERSON,0.9705559611
1.03260099930154E+018,100%,QUANTITY,0.9028389454
1.03260100255225E+018,@wastedtime01 Sanders,PERSON,0.9670983553
1.03260100255225E+018,NRA,ORGANIZATION,0.8375287652
1.03260100255225E+018,@ikerepublican,PERSON,0.9476984143
1.03260100255225E+018,@notwhoimnot,PERSON,0.8923482895
1.03260100255225E+018,https://t.co/dqJLdI9Gb3,OTHER,0.9999896288
1.03258472184956E+018,Tanzania,LOCATION,0.9984929562
1.03258472184956E+018,Tanzania,LOCATION,0.8559479117
1.03258472184956E+018,U.S.,LOCATION,0.6675957441
1.03258472184956E+018,Unilever,ORGANIZATION,0.4425727427
1.03258472184956E+018,$43 Million,QUANTITY,0.9903573394
1.03258472184956E+018,Four Years,QUANTITY,0.7538972497
1.03258472184956E+018,https://t.co/Ba2gkYaTLH,OTHER,0.9997672439
1.0326028449339E+018,@abhishe81354915,PERSON,0.9964066744
1.0326028449339E+018,@Unilever,PERSON,0.8720622659
1.0326028449339E+018,@HUL_News,PERSON,0.8606485724
1.03257960654358E+018,@i_amtheCODE,PERSON,0.9130921364
1.03257960654358E+018,@TheWorldsLesson,PERSON,0.9677086473
1.03257960654358E+018,Nairobi,LOCATION,0.9835444093
1.03257960654358E+018,80+ girls,QUANTITY,0.9379275441
1.032585709432E+018,https://t.co/0ebJcqdONF,OTHER,0.995660007
1.032585709432E+018,Shell,ORGANIZATION,0.6925618649
1.032585709432E+018,Dove,ORGANIZATION,0.4894148707
1.032585709432E+018,"Petrolium
2- Philips
3- Unilever",COMMERCIAL_ITEM,0.8410198092
1.032585833726E+018,Tanzania,LOCATION,0.4622013271
1.032585833726E+018,https://t.co/zddoMYQQ30,OTHER,0.9999241829
1.032585833726E+018,100bn/- in various tea development proje,QUANTITY,0.8062960505
1.03258832639675E+018,@Diageo,PERSON,0.8399205208
1.03258832639675E+018,@GapInc,PERSON,0.9173704982
1.03258832639675E+018,https://t.co/V7N0L9SDAJ,OTHER,0.9999946356
1.03258832639675E+018,844 million people,QUANTITY,0.798147738
1.0325925966721E+018,@PaulPolman,PERSON,0.9678119421
1.03259511204661E+018,India Inc,ORGANIZATION,0.9833320975
1.03259511204661E+018,https://t.co/iu8ArczfMj,OTHER,0.9999465942
1.03259511204661E+018,Unilever,ORGANIZATION,0.9197827578
1.03259511204661E+018,Merc,ORGANIZATION,0.5831604004
