tweetid,text,originaltext,sentiment,sentimentposscore,sentimentnegscore,sentimentneuscore,sentimentmixedscore
1.03258322702059E+018,New Job Listing: Current College Students – Marketing Internship (Summer 2019) #HelpWanted #MyChesCo https://t.co/bJXVvwnJiL,,NEUTRAL,0.018,0,0.982,0
1.0325832275951E+018,How can we enable businesses to effectively deliver #WASH services? Join us and other WASH4Work partners @ilo… https://t.co/zjAfk5bAzn,,NEUTRAL,0.008,0.001,0.991,0
1.0326028449339E+018,@abhishe81354915 @Unilever @HUL_News Thank you! My purpose in life is to ignite the spark in everyone!,,POSITIVE,0.884,0,0.115,0.001
1.03257750701761E+018,"#FridayFeeling #Unilever Brand, @beceloficial Becel Vegan, is not Vegan and here's why not. Ask them to drop… https://t.co/8LLHZjO5Zi",,NEUTRAL,0.007,0.024,0.966,0.003
1.03258910206616E+018,"844 million people around the world don't have access to clean water.
 
We've partnered with @Diageo_News, @GapInc… https://t.co/pcHGBA6kn3",,NEUTRAL,0.181,0.008,0.803,0.007
1.03258911166273E+018,"RT @WaterAidUK: 844 million people around the world don't have access to clean water.
 
We've partnered with @Diageo_News, @GapInc and @Uni…",,NEUTRAL,0.053,0.042,0.894,0.011
1.03258929796525E+018,"From Merc to Unilever, India Inc takes advantage of demand to raise prices https://t.co/g1HPV2PqgK",,NEUTRAL,0.006,0.001,0.992,0.001
1.0325996112973E+018,Tanzania:Unilever Invests Over U.S.$43 Million in Tanzania in Four Years https://t.co/7WARL1YqH0,,NEUTRAL,0.004,0,0.995,0.001
1.03259100801659E+018,RT @enterprisetvtv: #Unilever Invests Over 100 Billion #Tanzania in Four Years https://t.co/NYGzR1YTqf… https://t.co/XIIyri5lIG,,NEUTRAL,0.045,0.001,0.951,0.003
1.0325910665187E+018,"Also Unilever, independent halal trust  &amp; tiger Brands should also close down shop before elections just to send th… https://t.co/smZMfkFY1E",,NEUTRAL,0.005,0.001,0.993,0.001
1.03259167118219E+018,"RT @unseenvalue: “If a business earns 18% ROCE for 20-30 years, even if you pay an expensive looking price, you will end up with one hell o…",,NEUTRAL,0.086,0.024,0.862,0.028
1.03259168269551E+018,Terrific piece from @Tomorrows_co; accompanying article on #bcorps merits reading. Put religious faith component to… https://t.co/llRuBdSQuZ,,POSITIVE,0.969,0,0.03,0.001
1.03259193301583E+018,RT @TheGuardiantz: #TheGuardianNews THE Unilever Tea Tanzania says it has invested a total of 100bn/- in various tea development projects a…,,NEUTRAL,0.012,0.002,0.984,0.002
1.03259299044175E+018,"844 million people don't have access to clean water. 

We've partnered with @Diageo_News @GapInc and @Unilever to c… https://t.co/hfnYCdoiQp",,NEUTRAL,0.305,0.017,0.662,0.016
1.03257780183104E+018,Don't be a sadist! Alternative to #PalmOil has been created. https://t.co/CHFHsuHHhf Ask @Nestle @Unilever to start… https://t.co/GSBPCv5BgP,,NEUTRAL,0.144,0.01,0.835,0.011
1.0325779268422E+018,Zacks Investment Research Upgrades Unilever $UN to Hold https://t.co/NasCoQrlr7,,NEUTRAL,0.002,0.002,0.996,0.001
1.03260395534645E+018,"@bsindia Posted... 
https://t.co/pZ9sHnyFkv",,NEUTRAL,0.008,0.003,0.988,0.001
1.03258472184956E+018,Tanzania:Unilever Invests Over U.S.$43 Million in Tanzania in Four Years https://t.co/Ba2gkYaTLH,,NEUTRAL,0.004,0,0.995,0.001
1.03260099930154E+018,"RT @CANJapan_org: #再エネ100シンポジウム　#Renewable100Japan
Q. What is the benefit of making 100% RE pledge?
Mr. Kitajima (Unilever) ""Enhancing corp…",,NEUTRAL,0.078,0.001,0.92,0.002
1.03260100255225E+018,@notwhoimnot @ikerepublican @wastedtime01 Sanders owes his early career to the NRA who funded him. He has since bee… https://t.co/dqJLdI9Gb3,,NEUTRAL,0.011,0.159,0.79,0.039
1.03259355151386E+018,"RT @JaapJansen: Column ⁦@BNR⁩: Mark Rutte mist Edith Schippers
https://t.co/6XJNeN25U6
⁦@MinPres⁩ ⁦@EdithSchippernl⁩ @christenunie⁩ @d66 ⁦@…",,NEUTRAL,0.003,0.002,0.993,0.001
